image_path,file_name,label_name,label,caption,sample_type,source_class_name,original_class_index,source_image_path,generation_metadata_path
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/data/MAS3K/extracted/MAS3K/img/AngelFish_2824.jpg,AngelFish_2824.jpg,AngelFish,0,There is a angelfish hidden in the natural background.,original,AngelFish,0,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/data/MAS3K/extracted/MAS3K/img/AngelFish_2824.jpg,
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/data/MAS3K/extracted/MAS3K/img/AngelFish_2833.jpg,AngelFish_2833.jpg,AngelFish,0,There is a angelfish hidden in the natural background.,original,AngelFish,0,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/data/MAS3K/extracted/MAS3K/img/AngelFish_2833.jpg,
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/data/MAS3K/extracted/MAS3K/img/BatFish_2886.jpg,BatFish_2886.jpg,BatFish,1,There is a batfish hidden in the natural background.,original,BatFish,1,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/data/MAS3K/extracted/MAS3K/img/BatFish_2886.jpg,
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/data/MAS3K/extracted/MAS3K/img/BatFish_2888.jpg,BatFish_2888.jpg,BatFish,1,There is a batfish hidden in the natural background.,original,BatFish,1,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/data/MAS3K/extracted/MAS3K/img/BatFish_2888.jpg,
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/data/MAS3K/extracted/MAS3K/img/Butterflyfish_1003.jpg,Butterflyfish_1003.jpg,Butterflyfish,2,There is a butterflyfish hidden in the natural background.,original,Butterflyfish,2,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/data/MAS3K/extracted/MAS3K/img/Butterflyfish_1003.jpg,
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/data/MAS3K/extracted/MAS3K/img/Butterflyfish_1006.jpg,Butterflyfish_1006.jpg,Butterflyfish,2,There is a butterflyfish hidden in the natural background.,original,Butterflyfish,2,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/data/MAS3K/extracted/MAS3K/img/Butterflyfish_1006.jpg,
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/data/MAS3K/extracted/MAS3K/img/Butterflyfish_1007.jpg,Butterflyfish_1007.jpg,Butterflyfish,2,There is a butterflyfish hidden in the natural background.,original,Butterflyfish,2,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/data/MAS3K/extracted/MAS3K/img/Butterflyfish_1007.jpg,
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/data/MAS3K/extracted/MAS3K/img/Butterflyfish_984.jpg,Butterflyfish_984.jpg,Butterflyfish,2,There is a butterflyfish hidden in the natural background.,original,Butterflyfish,2,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/data/MAS3K/extracted/MAS3K/img/Butterflyfish_984.jpg,
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/data/MAS3K/extracted/MAS3K/img/Butterflyfish_991.jpg,Butterflyfish_991.jpg,Butterflyfish,2,There is a butterflyfish hidden in the natural background.,original,Butterflyfish,2,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/data/MAS3K/extracted/MAS3K/img/Butterflyfish_991.jpg,
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/data/MAS3K/extracted/MAS3K/img/Butterflyfish_993.jpg,Butterflyfish_993.jpg,Butterflyfish,2,There is a butterflyfish hidden in the natural background.,original,Butterflyfish,2,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/data/MAS3K/extracted/MAS3K/img/Butterflyfish_993.jpg,
